Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
508377,CIM,Càmera mòbil,73,Mastil,10,Sant Martí,67,la Vila Olímpica del Poblenou,432583169,4582161849,2.1936418,41.3881619,2018-11-28T00:00:00Z
508378,CIM,Càmera mòbil,78,Mastil,9,Sant Andreu,59,el Bon Pastor,433183693,4587813424,2.2001997,41.4391145,2018-10-04T00:00:00Z
508379,CIM,Càmera mòbil,79,Mastil,9,Sant Andreu,59,el Bon Pastor,432907168,4588204312,2.1968466,41.4426121,2018-10-05T00:00:00Z
508380,CIM,Càmera mòbil,105,Mastil,7,Horta-Guinardó,35,el Guinardó,431523331,4585244290,2.1806179,41.4158348,2018-11-09T00:00:00Z
508381,CIM,Càmera mòbil,106,Mastil,9,Sant Andreu,63,Navas,432063584,4585172770,2.1870899,41.4152366,2018-11-07T00:00:00Z
508382,CIM,Càmera mòbil,107,Mastil,10,Sant Martí,72,Sant Martí­ de Provençals,432687500,4585081523,2.194565,41.4144673,2018-11-08T00:00:00Z
508383,CIM,Càmera mòbil,112,Mastil,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,434652814,4584226579,2.2181713,41.4069298,2018-10-10T00:00:00Z
508384,CIM,Càmera mòbil,201,Mastil,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,434321006,4584561190,2.2141656,41.409916,2018-12-05T00:00:00Z
508385,CIM,Càmera mòbil,202,Fanal,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,434772809,4584708271,2.2195549,41.4112777,2018-10-11T00:00:00Z
508386,CIM,Càmera mòbil,204,Mastil,10,Sant Martí,70,el Besòs i el Maresme,434817395,4585053708,2.2200512,41.4143924,2018-10-03T00:00:00Z
508387,CIM,Càmera mòbil,205,Mastil,10,Sant Martí,70,el Besòs i el Maresme,434905295,4584951263,2.2211138,41.4134768,2018-11-08T00:00:00Z
508388,CIM,Càmera mòbil,206,Mastil,9,Sant Andreu,61,la Sagrera,431797230,4585992845,2.1838106,41.4226001,2018-11-08T00:00:00Z
508389,CIM,Càmera mòbil,207,Mastil,9,Sant Andreu,61,la Sagrera,432009289,4586348482,2.1863081,41.4258219,2018-10-17T00:00:00Z
