"idClienteEprinsa","AñoMes","Identificador","NumLámparasTotal","NumLámparasMercurio","NumLámparasHalogenuros","NumLámparasFluorescentes","NumLámparasSodio","NumLámparasLED","NumLámparasOtros","Tipo","Dirección","Descripción","CoordenadaX","CoordenadaY"
"1009","202406","NDA.ENE.007.1814696","955","0","917","0","0","38","0","Halogenuros","Calle Sevilla, 11","Puntos de luz - BELMEZ  - idSig: 1814696","300898","4232899"
"1009","202406","NDA.ENE.007.1814361","955","0","917","0","0","38","0","Halogenuros","Calle Cadenas, 6","Puntos de luz - BELMEZ  - idSig: 1814361","307037","4238430"
"1009","202406","NDA.ENE.007.1814131","955","0","917","0","0","38","0","LED","Calle Peñarroya-Pueblonuevo, 30","Puntos de luz - BELMEZ  - idSig: 1814131","307324","4238200"
"1009","202406","NDA.ENE.007.1814656","955","0","917","0","0","38","0","Halogenuros","Calle Perchel, 2","Puntos de luz - BELMEZ  - idSig: 1814656","299431","4235707"
"1009","202406","NDA.ENE.007.1814536","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814536","301149","4232631"
"1009","202406","NDA.ENE.007.1814474","955","0","917","0","0","38","0","Halogenuros","Calle San Antonio, 40","Puntos de luz - BELMEZ  - idSig: 1814474","306562","4238303"
"1009","202406","NDA.ENE.007.1814356","955","0","917","0","0","38","0","Halogenuros","Calle Rey Ramiro, 3","Puntos de luz - BELMEZ  - idSig: 1814356","307106","4238386"
"1009","202406","NDA.ENE.007.1814795","955","0","917","0","0","38","0","Halogenuros","Avenida de la Universidad, 2","Puntos de luz - BELMEZ  - idSig: 1814795","306864","4238053"
"1009","202406","NDA.ENE.007.1814413","955","0","917","0","0","38","0","Halogenuros","Calle Nava, 31","Puntos de luz - BELMEZ  - idSig: 1814413","306936","4238346"
"1009","202406","NDA.ENE.007.1813984","955","0","917","0","0","38","0","Halogenuros","Calle Aduana, 2","Puntos de luz - BELMEZ  - idSig: 1813984","306754","4238339"
