FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc7,65980,APARCABICIS_192,Esquina con Alameda Principal.,"CALLE TOMÁS HEREDIA, 2 ",POINT (372871.602552166 4064418.95712315),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc8,65896,APARCABICIS_139,Esquina con c/ La Crónica,"CALLE NUESTRA SEÑORA DE LAS CANDELAS, 13 ",POINT (370444.959907747 4061175.23805921),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dc9,66029,APARCABICIS_225,Esq. con Cl. Santa Elena,"CALLE MARTÍNEZ MALDONADO, 49 ",POINT (371807.173205337 4064929.73192235),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dca,66081,APARCABICIS_289,Esquina c/ Charles Dickens,"CALLE DEL DOCTOR MIGUEL DÍAZ RECIO, 22 ",POINT (369164.270062724 4065202.32199598),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dcb,66028,APARCABICIS_224,Frente a Biblioteca,"CALLE MARTÍNEZ MALDONADO, 71 ",POINT (371533.337498813 4064932.61876176),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dcc,65908,APARCABICIS_159,Esquina con Cl. Monseñor Carrillo Rubio,"CALLE MARTÍNEZ MALDONADO, 63 ",POINT (371669.911811645 4064921.19033582),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dcd,66072,APARCABICIS_286,Esquina con Cl. Ruiseñores,"CALLE RUISEÑORES, 19 ",POINT (367546.911079148 4066320.99705517),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dce,66025,APARCABICIS_179,Junto al colegio,"AVENIDA DE LA AURORA, 77 ",POINT (371287.456259691 4064204.734113),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dcf,66089,APARCABICIS_299,A la altura del Colegio Julio Caro Baroja,"CALLE CONDE LUCANOR, 13 ",POINT (369393.161281338 4059193.68555911),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd0,65904,APARCABICIS_144,Esquina con Cl. Acacias de Guadalmar,"CALLE ACACIAS DE GUADALMAR, 2 ",POINT (369840.904081091 4058586.33014084),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd1,66073,APARCABICIS_283,A la altura de la biblioteca Serafín Estebanez Calderón,"CALLE PILAR, 1 ",POINT (359994.206612953 4066317.91507942),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd2,66039,APARCABICIS_189,Junta de Distrito,"CALLE IGNACIO SÁNCHEZ MEJÍAS, 6 ",POINT (362001.404851829 4065792.03434435),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd3,65884,APARCABICIS_334,,"CALLE MAESTRO TOMÁS BRETÓN, 31 ",POINT (365647.000398252 4058422.00044177),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd4,66047,APARCABICIS_250,,"PLAZA ENRIQUE GARCÍA-HERRERA, 7 ",POINT (372813.616966453 4064760.91708379),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd5,66046,APARCABICIS_249,,"PLAZA ENRIQUE GARCÍA-HERRERA, 13 ",POINT (372791.594669927 4064703.65499511),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd6,66045,APARCABICIS_251,,"PLAZA ENRIQUE GARCÍA-HERRERA, 16 ",POINT (372756.677853362 4064704.39611643),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd7,66027,APARCABICIS_218,Esq. con Cl. Horacio Lengo,"AVENIDA DE LA AURORA, 65 ",POINT (371412.467963114 4064230.59551605),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd8,65977,APARCABICIS_162,Esquina Av. Gregorio Prieto. (Estación de metro Ciudad de la Justicia),"BULEVAR LOUIS PASTEUR, 15 ",POINT (369206.341804395 4064574.8750933),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dd9,66017,APARCABICIS_097,Junto al Estadio de la Rosaleda,"AVENIDA DE LA PALMILLA, 1 ",POINT (372533.514137066 4066291.59895547),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dda,65922,APARCABICIS_063,Frente Escuela Turismo.,"PASEO DE SANCHA, 12 ",POINT (374615.090628406 4064906.42873942),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2ddb,66003,APARCABICIS_219,Esquina Pasaje Francisco Blanca Mora.,"AVENIDA DE LA PALMILLA, 27 ",POINT (372678.005223485 4066920.81363523),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2ddc,66016,APARCABICIS_231,Esquina Cl. Hermanos Álvarez Quintero,"CALLE HERMANOS ÁLVAREZ QUINTERO, 6 ",POINT (372904.025399056 4067928.33310913),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2ddd,65962,APARCABICIS_149,Esquina con c/ Vega. (jardines),"PLAZA DE LA INMACULADA, 5 ",POINT (365683.472247238 4059281.67670823),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dde,74288,APARCABICIS_2119,"Camino de las Erizas, 3","CAMINO  DE LAS ERIZAS, 3 ",POINT (372061.205514202 4068268.81322655),,,,,,MUNICIPAL,No,No,5,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2ddf,65948,APARCABICIS_120,Esquina Plaza Cruz de Humilladero,"CAMINO DE SAN RAFAEL, 4 ",POINT (371232.166358509 4063854.16460287),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de0,66100,APARCABICIS_313,,"CALLE PIRANDELLO, 16 ",POINT (369448.870042734 4064342.1070588),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de1,66038,APARCABICIS_223,Esquina c/ Emilio Prados,"AVENIDA DE SOR TERESA PRAT, 50 ",POINT (371208.44700226 4062248.53576926),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de2,66117,APARCABICIS_319,Esq. CMNO de lo Guindos,"CALLE REALENGA DE SAN LUIS, 13 ",POINT (370550.402628649 4061844.89867139),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de3,66077,APARCABICIS_279,,"AVENIDA DE SOR TERESA PRAT, 84 ",POINT (370882.964533253 4061510.42957911),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de4,66121,APARCABICIS_323,Esq. Cl. Viñas del Mar,"AVENIDA DE GREGORIO DIEGO, 5 ",POINT (370055.999631162 4061653.00032322),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de5,66034,APARCABICIS_207,Museo del Automóvil,"AVENIDA DE SOR TERESA PRAT, 15 ",POINT (371405.869553306 4062530.52103157),,,,,,MUNICIPAL,No,No,16,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de6,66032,APARCABICIS_187,Esquina Avda.Sor Teresa Prat,"AVENIDA DE SOR TERESA PRAT, 2 ",POINT (371450.639176321 4062762.87054538),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de7,66113,APARCABICIS_311,Junto al Colegio Los Guindos,"AVENIDA DE GREGORIO DIEGO, 41 ",POINT (370457.480729453 4061361.28395681),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de8,65938,APARCABICIS_025,A la altura de la Delegación de Medio Ambiente de la J.A.,"CALLE MAURICIO MORO PARETO, 4 ",POINT (371859.111685404 4064115.79171526),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2de9,65902,APARCABICIS_147,Esquina con c/ Ángeles Rubio Arguelles,"CALLE TORREMOLINOS, 78 ",POINT (365503.546059559 4058633.22181345),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2dea,65941,APARCABICIS_101,Esquina con Cl. Manuel España Lobo,"CALLE MANUEL ESPAÑA LOBO, 1 ",POINT (371607.459140359 4064463.59674723),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2deb,65895,APARCABICIS_124,Ave María,"AVENIDA DE SOR TERESA PRAT, 49 ",POINT (371212.166170129 4062210.64151507),,,,,,MUNICIPAL,No,No,8,1987
