FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d7c,65997,APARCABICIS_201,Junto a Colegio.,"CALLE ESCULTOR MARÍN HIGUERO, 4 ",POINT (378144.218756925 4064848.22372861),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d7d,66010,APARCABICIS_190,Frente a c/ Miguel Moya.,"CALLE ALONSO CARRILLO DE ALBORNOZ, 5 ",POINT (378464.250704476 4064752.57390373),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d7e,65981,APARCABICIS_194,Esquina con c/ Montaño.,"PLAZA DE MONTAÑO, 4 ",POINT (373150.50165745 4065365.09866717),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d7f,66058,APARCABICIS_265,A la altura de los números 43- 45,"CALLE ALMERÍA, 47 ",POINT (378893.712242401 4064738.82805014),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d80,65930,APARCABICIS_081,Frente al Cuartel de la Guardia Civil,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 27 ",POINT (372185.260604669 4065705.46701001),,,,,,MUNICIPAL,No,No,8,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d81,65931,APARCABICIS_082,Esquina con c/ Blas de Lezo,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 43 ",POINT (371979.292780475 4065805.87144192),,,,,,MUNICIPAL,No,No,4,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d82,65892,APARCABICIS_013,Av. COmandante Benítez esquina Puente del Pechel.,"AVENIDA DEL COMANDANTE BENÍTEZ, 8 ",POINT (372663.847581901 4064144.97313701),,,,,,MUNICIPAL,No,No,10,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d83,65936,APARCABICIS_083,Junto a  Hospital Materno Infantil.,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 58 ",POINT (371988.787061139 4065831.96849724),,,,,,MUNICIPAL,No,No,6,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d84,65883,APARCABICIS_550,Av. Jorge Silvela frente C/ Fernando Loring,"AVENIDA DE JORGE SILVELA, 68 ",POINT (372799.000233479 4066443.00031035),,,,,,MUNICIPAL,No,No,3,1987
da_aparcamientosBici.fid-5e0b4e14_192281f7d42_2d85,66110,APARCABICIS_246,Esq. con Paseo Antonio Machado,"PASEO DE ANTONIO MACHADO, 56 ",POINT (372002.044126188 4062967.65715832),,,,,,MUNICIPAL,No,No,8,1987
